archivo1,archivo2,algoritmo,n,tiempo_ms,memoria_kb
data/matrix_input/256_dispersa_D0_b_1.txt,data/matrix_input/256_dispersa_D0_b_2.txt,strassen,256,1303.17,5388
data/matrix_input/256_dispersa_D0_c_1.txt,data/matrix_input/256_dispersa_D0_c_2.txt,naive,256,7.32225,4064
data/matrix_input/256_dispersa_D0_c_1.txt,data/matrix_input/256_dispersa_D0_c_2.txt,strassen,256,1330.18,5792
data/matrix_input/256_dispersa_D10_a_1.txt,data/matrix_input/256_dispersa_D10_a_2.txt,naive,256,7.18499,4084
data/matrix_input/256_dispersa_D10_a_1.txt,data/matrix_input/256_dispersa_D10_a_2.txt,strassen,256,1354.71,5348
data/matrix_input/256_dispersa_D10_b_1.txt,data/matrix_input/256_dispersa_D10_b_2.txt,naive,256,8.8115,4144
data/matrix_input/256_dispersa_D10_b_1.txt,data/matrix_input/256_dispersa_D10_b_2.txt,strassen,256,1337.1,5808
data/matrix_input/256_dispersa_D10_c_1.txt,data/matrix_input/256_dispersa_D10_c_2.txt,naive,256,6.93371,4092
data/matrix_input/256_dispersa_D10_c_1.txt,data/matrix_input/256_dispersa_D10_c_2.txt,strassen,256,1319.69,5800
data/matrix_input/256_diagonal_D0_a_1.txt,data/matrix_input/256_diagonal_D0_a_2.txt,naive,256,6.6555,4120
data/matrix_input/256_diagonal_D0_a_1.txt,data/matrix_input/256_diagonal_D0_a_2.txt,strassen,256,1518.01,5852
data/matrix_input/256_diagonal_D0_b_1.txt,data/matrix_input/256_diagonal_D0_b_2.txt,naive,256,7.26144,4132
data/matrix_input/256_diagonal_D0_b_1.txt,data/matrix_input/256_diagonal_D0_b_2.txt,strassen,256,1341.14,5388
data/matrix_input/256_diagonal_D0_c_1.txt,data/matrix_input/256_diagonal_D0_c_2.txt,naive,256,7.19558,4064
data/matrix_input/256_diagonal_D0_c_1.txt,data/matrix_input/256_diagonal_D0_c_2.txt,strassen,256,1354.06,5696
data/matrix_input/256_diagonal_D10_a_1.txt,data/matrix_input/256_diagonal_D10_a_2.txt,naive,256,7.49567,4052
data/matrix_input/256_diagonal_D10_a_1.txt,data/matrix_input/256_diagonal_D10_a_2.txt,strassen,256,1354.12,5384
data/matrix_input/256_diagonal_D10_b_1.txt,data/matrix_input/256_diagonal_D10_b_2.txt,naive,256,7.86798,4272
data/matrix_input/256_diagonal_D10_b_1.txt,data/matrix_input/256_diagonal_D10_b_2.txt,strassen,256,1354.45,5804
data/matrix_input/256_diagonal_D10_c_1.txt,data/matrix_input/256_diagonal_D10_c_2.txt,naive,256,7.02149,4052
data/matrix_input/256_diagonal_D10_c_1.txt,data/matrix_input/256_diagonal_D10_c_2.txt,strassen,256,1481.22,5712
data/matrix_input/256_densa_D0_a_1.txt,data/matrix_input/256_densa_D0_a_2.txt,naive,256,12.7614,4212
data/matrix_input/256_densa_D0_a_1.txt,data/matrix_input/256_densa_D0_a_2.txt,strassen,256,1474.05,5452
data/matrix_input/256_densa_D0_b_1.txt,data/matrix_input/256_densa_D0_b_2.txt,naive,256,6.75099,4128
data/matrix_input/256_densa_D0_b_1.txt,data/matrix_input/256_densa_D0_b_2.txt,strassen,256,1346.98,5788
data/matrix_input/256_densa_D0_c_1.txt,data/matrix_input/256_densa_D0_c_2.txt,naive,256,6.98689,4268
data/matrix_input/256_densa_D0_c_1.txt,data/matrix_input/256_densa_D0_c_2.txt,strassen,256,1480.67,5740
data/matrix_input/256_densa_D10_a_1.txt,data/matrix_input/256_densa_D10_a_2.txt,naive,256,6.92747,4208
data/matrix_input/256_densa_D10_a_1.txt,data/matrix_input/256_densa_D10_a_2.txt,strassen,256,1440.62,5392
data/matrix_input/256_densa_D10_b_1.txt,data/matrix_input/256_densa_D10_b_2.txt,naive,256,7.46583,4080
data/matrix_input/256_densa_D10_b_1.txt,data/matrix_input/256_densa_D10_b_2.txt,strassen,256,1342.98,5420
data/matrix_input/256_densa_D10_c_1.txt,data/matrix_input/256_densa_D10_c_2.txt,naive,256,7.04205,4268
data/matrix_input/256_densa_D10_c_1.txt,data/matrix_input/256_densa_D10_c_2.txt,strassen,256,1372.22,5736
data/matrix_input/1024_dispersa_D0_a_1.txt,data/matrix_input/1024_dispersa_D0_a_2.txt,naive,1024,1081.26,15744
data/matrix_input/1024_dispersa_D0_a_1.txt,data/matrix_input/1024_dispersa_D0_a_2.txt,strassen,1024,69546.4,36076
data/matrix_input/1024_dispersa_D0_b_1.txt,data/matrix_input/1024_dispersa_D0_b_2.txt,naive,1024,1061.33,15768
data/matrix_input/1024_dispersa_D0_b_1.txt,data/matrix_input/1024_dispersa_D0_b_2.txt,strassen,1024,66801.6,36076
data/matrix_input/1024_dispersa_D0_c_1.txt,data/matrix_input/1024_dispersa_D0_c_2.txt,naive,1024,1108.25,15696
data/matrix_input/1024_dispersa_D0_c_1.txt,data/matrix_input/1024_dispersa_D0_c_2.txt,strassen,1024,69961.6,36000
data/matrix_input/1024_dispersa_D10_a_1.txt,data/matrix_input/1024_dispersa_D10_a_2.txt,naive,1024,1210.81,15836
data/matrix_input/1024_dispersa_D10_a_1.txt,data/matrix_input/1024_dispersa_D10_a_2.txt,strassen,1024,73500.1,36164
data/matrix_input/1024_dispersa_D10_b_1.txt,data/matrix_input/1024_dispersa_D10_b_2.txt,naive,1024,1107.99,15744
data/matrix_input/1024_dispersa_D10_b_1.txt,data/matrix_input/1024_dispersa_D10_b_2.txt,strassen,1024,79931.2,36216
data/matrix_input/1024_dispersa_D10_c_1.txt,data/matrix_input/1024_dispersa_D10_c_2.txt,naive,1024,1291.26,15688
data/matrix_input/1024_dispersa_D10_c_1.txt,data/matrix_input/1024_dispersa_D10_c_2.txt,strassen,1024,75802.6,36000
data/matrix_input/1024_diagonal_D0_a_1.txt,data/matrix_input/1024_diagonal_D0_a_2.txt,naive,1024,1198.93,15744
data/matrix_input/1024_diagonal_D0_a_1.txt,data/matrix_input/1024_diagonal_D0_a_2.txt,strassen,1024,76700.2,35992
data/matrix_input/1024_diagonal_D0_b_1.txt,data/matrix_input/1024_diagonal_D0_b_2.txt,naive,1024,1266.59,15736
data/matrix_input/1024_diagonal_D0_b_1.txt,data/matrix_input/1024_diagonal_D0_b_2.txt,strassen,1024,76804.8,35996
data/matrix_input/1024_diagonal_D0_c_1.txt,data/matrix_input/1024_diagonal_D0_c_2.txt,naive,1024,1746.88,15824
data/matrix_input/1024_diagonal_D0_c_1.txt,data/matrix_input/1024_diagonal_D0_c_2.txt,strassen,1024,79062.5,36016
data/matrix_input/1024_diagonal_D10_a_1.txt,data/matrix_input/1024_diagonal_D10_a_2.txt,naive,1024,1164.15,15744
data/matrix_input/1024_diagonal_D10_a_1.txt,data/matrix_input/1024_diagonal_D10_a_2.txt,strassen,1024,79840.2,36064
data/matrix_input/1024_diagonal_D10_b_1.txt,data/matrix_input/1024_diagonal_D10_b_2.txt,naive,1024,1478.53,15824
data/matrix_input/1024_diagonal_D10_b_1.txt,data/matrix_input/1024_diagonal_D10_b_2.txt,strassen,1024,79185.3,36168
data/matrix_input/1024_diagonal_D10_c_1.txt,data/matrix_input/1024_diagonal_D10_c_2.txt,naive,1024,891.464,15884
data/matrix_input/1024_diagonal_D10_c_1.txt,data/matrix_input/1024_diagonal_D10_c_2.txt,strassen,1024,77507.4,35988
data/matrix_input/1024_densa_D0_a_1.txt,data/matrix_input/1024_densa_D0_a_2.txt,naive,1024,1167.49,15760
data/matrix_input/1024_densa_D0_a_1.txt,data/matrix_input/1024_densa_D0_a_2.txt,strassen,1024,81413.8,36148
data/matrix_input/1024_densa_D0_b_1.txt,data/matrix_input/1024_densa_D0_b_2.txt,naive,1024,1382.41,15760
data/matrix_input/1024_densa_D0_b_1.txt,data/matrix_input/1024_densa_D0_b_2.txt,strassen,1024,81025.8,36164
data/matrix_input/1024_densa_D0_c_1.txt,data/matrix_input/1024_densa_D0_c_2.txt,naive,1024,1428.7,15704
data/matrix_input/1024_densa_D0_c_1.txt,data/matrix_input/1024_densa_D0_c_2.txt,strassen,1024,78693.3,36072
data/matrix_input/1024_densa_D10_a_1.txt,data/matrix_input/1024_densa_D10_a_2.txt,naive,1024,1356.41,15700
data/matrix_input/1024_densa_D10_a_1.txt,data/matrix_input/1024_densa_D10_a_2.txt,strassen,1024,76632.3,36044
data/matrix_input/1024_densa_D10_b_1.txt,data/matrix_input/1024_densa_D10_b_2.txt,naive,1024,1576.06,15680
data/matrix_input/1024_densa_D10_b_1.txt,data/matrix_input/1024_densa_D10_b_2.txt,strassen,1024,77955.5,36072
data/matrix_input/1024_densa_D10_c_1.txt,data/matrix_input/1024_densa_D10_c_2.txt,naive,1024,1411.87,15724
data/matrix_input/1024_densa_D10_c_1.txt,data/matrix_input/1024_densa_D10_c_2.txt,strassen,1024,74894.1,36036
